Concavidad,Curvatura,DensidadNormales,VolumenConvexa,AreaSuperficieTotal,RadioCurvaturaMedio,DesviacionStdAltura,Compacticidad,DesviacionStdCentroide,AsimetriaPromedio,Clase
0.004516876,0.032409801126000004,0.037122049090333474,0.004516888,0.20267639632598555,1.0010521137422648,0.064601189,0.022286204271316324,0.040321418441734515,0.7049031216750353,cup
0.004628323,0.032673000779250005,0.036975047,0.004628335,0.2046834939934481,1.0010690866537029,0.064759592,0.022612154,0.039623272,0.7372605821278766,cup
0.00462049,0.032118151,0.036709017,0.004620502,0.20408064979365553,1.0010480175928664,0.0649671,0.022640569523302824,0.039770195554289754,0.7145134963982581,cup
0.00469377,0.032486300897999996,0.037156548318695456,0.004693782,0.20598011257721793,1.0010668939490588,0.065173733,0.022787547857348323,0.039569826573619196,0.7060373693538815,cup
0.004397872,0.032213601,0.036531041,0.004397884,0.1961433142664383,1.0010506743368266,0.065293955,0.02242179,0.038503918,0.7145414815411947,cup
0.004248427,0.032880575993000004,0.036906991014928524,0.004248439,0.19033556857876263,1.0010835507073443,0.066350095,0.022320783,0.038110019,0.7563561691502332,cup
0.004319346,0.033119618,0.03647459,0.004319359,0.1918738110722647,1.001095720605302,0.066325404,0.022511455,0.038039991,0.6974016220853786,cup
0.004503378,0.032792041,0.036713886519610314,0.00450339,0.19873285765680285,1.0010797051221534,0.065990596,0.022660523,0.038311362787817126,0.7184322891468211,cup
0.004046749,0.032995051,0.035086329,0.004046761,0.1874203055889541,1.001077589,0.065181577,0.021591900563373928,0.036880095,0.7042456700814701,cup
0.004234957,0.031773151,0.035780345,0.00423497,0.19021559079797534,1.0010276529013955,0.064568548,0.022264051081005563,0.037769698031050805,0.6954140343380225,cup
0.004244,0.032677634,0.035615032,0.004244013,0.1911064303119887,1.001066142543001,0.065173326,0.022207587,0.036742595,0.7006468059040767,cup
0.00431231,0.031984501,0.03566511,0.004312322,0.1922479681239872,1.0010337131440525,0.064711895,0.022431039907414803,0.037358064,0.7106978103267171,cup
0.004055619,0.031840001,0.036915957,0.004055631,0.18946003648218382,1.0010239663856337,0.065046464,0.02140626,0.038031437,0.7393058021701625,cup
0.004050545,0.033238676,0.036637637,0.004050558,0.18972308375318106,1.0010751628796497,0.065319709,0.021349843449929972,0.037943858,0.6947942697249986,cup
0.00407304,0.033304534,0.036342567,0.004073053,0.1904740132424002,1.0010863577969211,0.065891194,0.021383773,0.037706286,0.6874162503521766,cup
0.004123397,0.033066691,0.03659803,0.00412341,0.19110412492935802,1.0010745948745372,0.065663614,0.021576772961520656,0.037727891,0.6831245583496726,cup
0.004574409,0.033434501,0.037625826,0.004574423,0.20938966171513584,1.0011027049992602,0.066042528,0.021846459056822677,0.039372342,0.6962844785125495,cup
0.004712121,0.033077676,0.037919000870493665,0.004712134,0.21283879,1.001074838882919,0.065497495,0.022139452037730215,0.040257393,0.7205424175492071,cup
0.004731224,0.032564434,0.037691467,0.004731237,0.21324115569279609,1.0010615674183503,0.065822702,0.022187262,0.039489623,0.7000063980787883,cup
0.004779708,0.032938051,0.037408427,0.004779721,0.21408509174434998,1.0010751096683785,0.065828953,0.022326269354962437,0.039524509,0.7091685240562575,cup
0.004478504,0.034589051073000004,0.036717269,0.004478518,0.20739917702518026,1.001184743775968,0.068639428,0.021593712,0.037408693027361814,0.7026786967360099,cup
0.00458897,0.034546051,0.036640312753671064,0.004588984,0.20896167054913328,1.001177537,0.068713038,0.021960887240330778,0.036583058638939535,0.6918152175663449,cup
0.004602107,0.034392200942666665,0.036748584287236104,0.004602121,0.2098457013299924,1.0011756076596148,0.068725818,0.021930975231619965,0.036659476,0.7035738382483917,cup
0.004649172,0.034596131,0.036744631,0.004649186,0.2107791648405028,1.0011853522842014,0.068908899,0.022057144,0.036728122,0.6924434577783171,cup
0.00412654,0.034747801132999995,0.037216403,0.004126553,0.19833097700648344,1.0011938796437099,0.068987267,0.020806398445172337,0.039002074055123064,0.7166773559702476,cup
0.004224895,0.034302576126999995,0.037103986,0.004224908,0.20027714313163175,1.0011697171946305,0.06847843,0.021095310258627025,0.03887986,0.7356112862914755,cup
0.00430092,0.034348400954166664,0.037248582,0.004300934,0.2004646409192648,1.0011655779342956,0.068307095,0.021454825913393295,0.039504609,0.7264975358419538,cup
0.004336226,0.034582271,0.036881611,0.004336239,0.20424327919008242,1.0011811956906764,0.068527505,0.021230757,0.039200206,0.7123161915429916,cup
0.004553348,0.034335301,0.036676745,0.004553362,0.2162317295915991,1.001177226787007,0.068576699,0.021057786179285103,0.038620042831781394,0.7316033762995491,cup
0.004624698,0.033961601,0.036693025,0.004624711,0.21828100368722458,1.001145541380298,0.06805378,0.021186961078046462,0.039160431,0.7432299349743329,cup
0.004703034,0.034539967667833335,0.037113767,0.004703047,0.21914748552844304,1.0011723268054828,0.068477016,0.021460649,0.038533199,0.7208773498033785,cup
0.004858454,0.034265341,0.036841335566192984,0.004858468,0.22430998775439073,1.0011634768423754,0.068103547,0.021659613,0.038710541,0.7347907636616675,cup
0.004770418,0.034753950932999995,0.037578945,0.004770432,0.21503827335789008,1.001203072420482,0.069590876,0.022184105515894767,0.038918684,0.6540238023734009,cup
0.004804561,0.034637376,0.037620669,0.004804576,0.21575886070026715,1.0012213170246382,0.070120548,0.022268265675625842,0.039965172,0.6602738358020551,cup
0.004890716,0.034681101,0.037795727,0.004890732,0.21760856843501697,1.001221020818375,0.070128678,0.022474905,0.039490849,0.6224636200527008,cup
